BehaviorID,CustomerID,ProductID,Timestamp,ClickSource,PageModule,ActionType,DwellTimeSeconds,DwellTimeCategory
1,3993,1969,2024-07-29 05:18:35.375653,sale,,view,236,t5
2,758,4970,2024-07-11 21:22:35.375653,home,,purchase,42,t3
3,215,7035,2024-07-29 19:08:35.375653,cart,specification,purchase,260,t5
4,2047,8433,2024-07-22 07:05:35.375653,category,specification,purchase,239,t5
5,4785,7389,2024-07-14 11:14:35.375653,home,comments,purchase,143,t5
6,1787,3603,2024-07-22 17:13:35.375653,category,bottom,view,159,t5
7,1741,7966,2024-07-19 15:35:35.375653,sale,specification,purchase,126,t5
8,450,7793,2024-07-29 14:25:35.375653,cart,,view,192,t5
9,2358,8919,2024-07-15 22:41:35.375653,search,,view,117,t4
10,1041,9727,2024-07-24 14:25:35.375653,sale,specification,view,45,t3
11,2342,2230,2024-07-23 11:25:35.375653,sale,bottom,add_to_cart,62,t4
12,4345,9380,2024-08-11 00:42:35.375653,cart,comments,view,150,t5
13,193,5801,2024-08-01 04:21:35.375653,category,specification,view,145,t5
14,2171,4829,2024-07-21 22:18:35.375653,sale,,add_to_cart,91,t4
15,1875,6548,2024-08-06 21:09:35.375653,sale,bottom,view,30,t3
16,2314,9416,2024-07-31 13:26:35.375653,sale,,view,275,t5
17,4130,1813,2024-07-15 01:23:35.375653,sale,specification,view,24,t2
18,4419,7045,2024-07-28 14:59:35.375653,category,bottom,view,51,t3
19,2319,2455,2024-07-22 08:01:35.375653,category,bottom,purchase,262,t5
20,4367,3718,2024-07-31 15:49:35.375653,home,bottom,purchase,255,t5
21,2687,4368,2024-08-07 15:34:35.375653,cart,specification,view,162,t5
22,2420,530,2024-08-10 16:15:35.375653,sale,comments,view,161,t5
23,4474,7447,2024-07-14 12:24:35.375653,search,,view,149,t5
24,2944,929,2024-07-15 08:01:35.375653,search,specification,view,2,t1
25,2670,8045,2024-08-03 05:03:35.375653,search,specification,purchase,124,t5
26,3497,4020,2024-08-09 14:41:35.375653,cart,comments,view,36,t3
27,4499,9289,2024-07-30 07:17:35.375653,search,comments,purchase,252,t5
28,3615,8355,2024-07-13 23:32:35.375653,search,comments,purchase,176,t5
29,2062,2480,2024-07-19 17:17:35.375653,sale,bottom,add_to_cart,173,t5
30,2899,6237,2024-08-04 01:48:35.375653,home,bottom,add_to_cart,49,t3
31,2511,9009,2024-07-22 06:26:35.375653,home,bottom,purchase,110,t4
32,2922,3328,2024-07-22 07:50:35.375653,cart,bottom,add_to_cart,115,t4
33,345,9289,2024-07-22 04:34:35.375653,home,specification,add_to_cart,156,t5
34,2266,2049,2024-08-08 21:03:35.375653,cart,,view,152,t5
35,3944,6535,2024-07-14 15:39:35.375653,cart,,view,40,t3
36,2021,487,2024-08-09 21:46:35.375653,category,comments,purchase,46,t3
37,4731,7554,2024-08-04 18:29:35.375653,search,bottom,purchase,81,t4
38,2783,8182,2024-07-30 02:21:35.375653,cart,,view,30,t3
39,3574,1219,2024-08-01 01:02:35.375653,search,specification,add_to_cart,92,t4
40,1136,6266,2024-07-19 17:17:35.375653,sale,comments,view,69,t4
41,2465,1995,2024-08-08 02:17:35.375653,category,bottom,view,149,t5
42,2642,6667,2024-07-22 16:53:35.375653,sale,,purchase,1,t1
43,53,4176,2024-08-02 15:46:35.375653,cart,specification,purchase,281,t5
44,2914,4482,2024-08-09 21:49:35.375653,sale,specification,purchase,130,t5
45,2798,3925,2024-07-31 04:11:35.375653,cart,,purchase,288,t5
46,2960,2893,2024-08-09 20:19:35.375653,home,,purchase,257,t5
47,1910,396,2024-07-27 09:27:35.375653,cart,bottom,view,11,t2
48,135,916,2024-08-10 15:11:35.375653,home,bottom,view,205,t5
49,2716,3961,2024-07-26 14:33:35.375653,search,specification,add_to_cart,147,t5
50,623,7914,2024-08-06 07:49:35.375653,search,,view,254,t5
51,2626,9123,2024-07-30 04:47:35.375653,search,specification,add_to_cart,218,t5
52,926,292,2024-07-15 17:41:35.375653,category,specification,purchase,199,t5
53,3193,6266,2024-08-11 10:23:35.375653,category,bottom,add_to_cart,150,t5
54,4126,6225,2024-08-07 21:56:35.375653,cart,bottom,view,23,t2
55,4612,7666,2024-07-13 19:22:35.375653,cart,specification,add_to_cart,112,t4
56,2862,8326,2024-08-02 16:44:35.375653,home,,add_to_cart,69,t4
57,2926,3504,2024-07-27 04:55:35.375653,category,,purchase,261,t5
58,1395,7817,2024-08-08 07:33:35.375653,cart,,purchase,171,t5
59,1882,2438,2024-07-19 08:20:35.375653,search,bottom,purchase,270,t5
60,2130,1730,2024-07-23 10:24:35.375653,sale,,view,154,t5
61,3009,7039,2024-07-23 20:39:35.375653,home,,add_to_cart,69,t4
62,4782,8915,2024-07-29 06:01:35.375653,category,specification,view,71,t4
63,1209,5241,2024-08-08 15:35:35.375653,home,specification,purchase,171,t5
64,710,2627,2024-07-22 00:06:35.375653,home,,add_to_cart,236,t5
