OrderItemID,OrderID,ProductID,Price,Quantity,CustomerID,OrderDate,Count,TotalAmount,Status,RetailerID,Name,MainCategory,SubCategory,SKU,CreatedAt,Reviews,Ratings,CleanedReviews,Sentiment,neg,neu,pos,compound,Cluster
1,1,6555,35.99,2,4463,2024-09-10 08:34:41,3,117.54,In Transit,33,BUSKINS Men’s Formal Lace-Up Shoes -BA-8829 Black,men's shoes,Formal Shoes,SKU6672,2024-08-11 16:46:00.777687,,,,,,,,,
2,1,2673,11.99,2,4463,2024-09-10 08:34:41,3,117.54,In Transit,80,Storin RJ45 and RJ11 Network Cable Tester,industrial supplies,Test  Measure & Inspect,SKU4164,2024-08-11 16:35:57.442808,,,,,,,,,
3,1,3883,10.79,2,4463,2024-09-10 08:34:41,3,117.54,In Transit,100,CONTEX MEDIA Women's 2 Pair Panty Hose Long Exotic Stockings Tights  Full Length High Waisted Pantyhose Stockings,women's clothing,Lingerie & Nightwear,SKU9789,2024-08-11 16:38:35.063166,,,,,,,,,
4,2,4577,29.99,3,4594,2024-05-17 01:38:20,2,128.33,Delivered,68,Centrino Mens 6004-02 Sneaker,men's shoes,Casual Shoes,SKU8040,2024-08-11 16:39:59.465810,"The Centrino Mens 6004-02 Sneaker is okay. It does the job but doesn't stand out in any particular way. I'm not sure if I would purchase it again, but it serves its purpose.",3.0,centrino men sneaker okay job doesnt stand particular way im sure would purchase serf purpose,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4939}",0.0,0.756,0.244,0.4939,2.0
5,2,9588,9.59,4,4594,2024-05-17 01:38:20,2,128.33,Delivered,13,Mush Bamboo Socks for Men & Women - Ultra Soft  Breathable  Odor Control with Mesh Design Ankle socks for running  exercis...,sports & fitness,Cycling,SKU3577,2024-08-11 16:52:54.219430,"Very satisfied with the Mush Bamboo Socks for Men & Women - Ultra Soft  Breathable  Odor Control with Mesh Design Ankle socks for running  exercis.... It exceeded my expectations in every way. High quality and durable, I’m extremely pleased with the performance!",4.0,satisfied mush bamboo sock men woman ultra soft breathable odor control mesh design ankle sock running exercis exceeded expectation every way high quality durable im extremely pleased performance,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.7178}",0.0,0.813,0.187,0.7178,2.0
6,3,6362,7.58,3,3281,2024-11-26 06:13:51,1,22.74,Delivered,67,Wular Polyester 32 L Waterproof Foldable Travel Storage Luggage Shoulder Flight Bag (Orange)(Pack of 1),bags & luggage,Travel Duffles,SKU1319,2024-08-11 16:45:25.410681,"I was really disappointed with the Wular Polyester 32 L Waterproof Foldable Travel Storage Luggage Shoulder Flight Bag (Orange)(Pack of 1). The quality was poor, and it didn't meet any of my expectations. I wouldn't recommend it to anyone.",1.0,really disappointed wular polyester l waterproof foldable travel storage luggage shoulder flight bag orangepack quality poor didnt meet expectation wouldnt recommend anyone,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.8226}",0.323,0.677,0.0,-0.8226,0.0
7,4,9786,1859.88,3,4168,2024-09-21 19:57:35,1,5579.64,In Transit,87,LG 121 cm (48 Inches) 4K Ultra HD Smart OLED TV OLED48C2PSA (Black) (2022 Model),tv  audio & cameras,Televisions,SKU2553,2024-08-11 16:53:19.348037,,,,,,,,,
8,5,6593,14.4,4,2687,2024-12-15 07:26:12,1,57.6,Shipped,86,Biltoxi Vegetables and Sabaji Plastic Basket  Kitchen Stand Rack Basket for Office Use (Grey Color  2 Layer),home & kitchen,Kitchen & Dining,SKU9132,2024-08-11 16:46:04.098717,,,,,,,,,
9,6,1783,3.71,3,167,2024-08-30 11:28:26,2,47.13,Shipped,45,IC4 Men's Fashion Brief B-295,men's clothing,Innerwear,SKU3369,2024-08-11 16:33:35.974129,,,,,,,,,
10,6,9749,12.0,3,167,2024-08-30 11:28:26,2,47.13,Shipped,1,Inditradition Kids School Bus Shape Storage Box with Lid Cum Sitting Stool Cum Playing Toy | Collapsible  Hard Cardboard  Red,home & kitchen,Home Storage,SKU5230,2024-08-11 16:53:16.243817,,,,,,,,,
11,7,1563,50.36,2,50,2024-07-18 10:45:54,1,100.72,Shipped,27,PE® Stroller Hanging Bag Large Capacity Mommy Bag Children's Stroller Accessories Hanging Bag Baby Large Storage Bag,toys & baby products,Strollers & Prams,SKU9689,2024-08-11 16:32:44.013929,,,,,,,,,
12,8,3291,67.2,3,2405,2024-02-06 11:26:22,2,470.4,In Transit,56,SAM Hexa Dumbbell 7.5kg Set   7.5kg×2pcs Pair   Hexa Rubber Dambal   Home Gym Kit Dumbells   (Pack Of Two) 15kg Weight,sports & fitness,All Exercise & Fitness,SKU1561,2024-08-11 16:37:02.063300,,,,,,,,,
13,8,5960,67.2,4,2405,2024-02-06 11:26:22,2,470.4,In Transit,61,Lexar Professional 2000x 32GB SDHC UHS-II Card  Up to 300MB/s Read (LSD2000032G-BNNNU),tv  audio & cameras,Cameras,SKU5480,2024-08-11 16:44:04.139640,,,,,,,,,
14,9,8746,10.79,4,1752,2024-08-18 21:57:50,1,43.16,Shipped,33,MYYNTI Women Lace Invisible No Show Ultra-Low Cut Boat Non-Slip Liners Socks with Silicone Strips Free Size Multicolor 3 pair,stores,Men's Fashion,SKU6653,2024-08-11 16:51:18.071601,,,,,,,,,
15,10,5587,7.91,1,2256,2024-10-05 03:31:04,2,31.87,Shipped,19,Macroman M-Series Men's Regular Thermal Top (M1003_Black S),sports & fitness,Cycling,SKU8364,2024-08-11 16:43:07.575493,,,,,,,,,
16,10,1258,5.99,4,2256,2024-10-05 03:31:04,2,31.87,Shipped,32,Printed Cotton Tshirt-Shorts for Baby (Boy/Girl from 1-2 Years) Pink,kids' fashion,Baby Fashion,SKU6128,2024-08-11 16:31:52.735099,,,,,,,,,
17,11,1815,66.0,4,2646,2024-01-02 02:53:38,3,1158.18,Delivered,77,Masilo Diaper Bag/Mother Bag for Travel with Baby/Multi-Functional with Extra Storage Space/Water & Stain Resistant / 100%...,toys & baby products,Strollers & Prams,SKU6327,2024-08-11 16:33:45.257435,"I was really disappointed with the Masilo Diaper Bag/Mother Bag for Travel with Baby/Multi-Functional with Extra Storage Space/Water & Stain Resistant / 100%.... The quality was poor, and it didn't meet any of my expectations. I wouldn't recommend it to anyone.",2.0,really disappointed masilo diaper bagmother bag travel babymultifunctional extra storage spacewater stain resistant quality poor didnt meet expectation wouldnt recommend anyone,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.8226}",0.323,0.677,0.0,-0.8226,0.0
18,11,4217,1.56,4,2646,2024-01-02 02:53:38,3,1158.18,Delivered,15,Brooke Bond Red Label Natural Care Tea  250g Carton,grocery & gourmet foods,All Grocery & Gourmet Foods,SKU5293,2024-08-11 16:39:15.224729,The Brooke Bond Red Label Natural Care Tea  250g Carton is fantastic! It fits perfectly and performs as promised. I couldn’t be happier with my purchase and will recommend it to my friends.,5.0,brooke bond red label natural care tea g carton fantastic fit perfectly performs promised couldnt happier purchase recommend friend,"{'neg': 0.137, 'neu': 0.253, 'pos': 0.61, 'compound': 0.9502}",0.137,0.253,0.61,0.9502,0.0
19,11,2882,295.98,3,2646,2024-01-02 02:53:38,3,1158.18,Delivered,33,HASHTAG FITNESS abs Tower Preacher Bench with Gym Cable Attachment Resistance Band Gym equipments for Home,sports & fitness,Strength Training,SKU4476,2024-08-11 16:36:11.978918,"I have mixed feelings about the HASHTAG FITNESS abs Tower Preacher Bench with Gym Cable Attachment Resistance Band Gym equipments for Home. It's decent for the price, but there are some things that could be improved. It works fine, though.",3.0,mixed feeling hashtag fitness ab tower preacher bench gym cable attachment resistance band gym equipment home decent price thing could improved work fine though,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.8271}",0.0,0.64,0.36,0.8271,4.0
20,12,3027,1.2,1,268,2024-03-18 05:03:20,1,1.2,Shipped,49,Elle18 Color Pop Matte Lip Color  W12  Mauve Date  4.3 g,beauty & health,Make-up,SKU6245,2024-08-11 16:36:22.197548,,,,,,,,,
