ProductID,RetailerID,Name,MainCategory,SubCategory,Price,SKU,CreatedAt
1,70,Women's Comfortable Wedge Heel Fashion Sandal,women's shoes,Fashion Sandals,11.99,SKU5386,2024-08-11 16:27:28.947124
2,40,Michael Angelo Men's Vegan Collection Formal Shoes,men's shoes,Formal Shoes,14.39,SKU2229,2024-08-11 16:27:29.184491
3,31,Mobhead Finger Gripper Strength Trainer Forearm Exerciser Hand Yoga Resistance Band Finger Expander Finger Extension Exerc...,sports & fitness,Strength Training,5.99,SKU1655,2024-08-11 16:27:29.215419
4,12,9T5 Foldable Mini Fitness Cycle Pedal Exerciser Bike Gym Machine with Digital Display Meter for Men Women Home Exercise Gym,sports & fitness,Cardio Equipment,N/A,SKU6425,2024-08-11 16:27:29.229340
5,98,A2D? 11807. Dual Tone Shark Fin Shape Decorative Roof Car Antenna Black n Silver for Hyundai i20 Elite,car & motorbike,Car Electronics,7.19,SKU5752,2024-08-11 16:27:29.256293
6,42,Vacuum Cleaner Roller Brush Filter Vacuum Cleaner Accessory With Filter and Roller brush,appliances,Kitchen & Home Appliances,46.78,SKU5067,2024-08-11 16:27:29.402903
7,86,Lista Folding Steel Shovel Very Small,sports & fitness,Camping & Hiking,13.44,SKU9525,2024-08-11 16:27:29.427838
8,98,KidDough Baby Nasal Aspirator 0-5 Years | Vacuum Suction Baby Nose Cleaner | Soft Silicone Nozzle | Manual Nose Cleaning S...,toys & baby products,Baby Products,5.99,SKU6260,2024-08-11 16:27:29.458753
9,48,RISH Tshirt for Boys and Kids | Super Soft Quick Dry Fit Fabric Man and Football Printed Casuals,kids' fashion,Kids' Clothing,9.59,SKU9282,2024-08-11 16:27:29.490667
10,81,Max Boys T-Shirt,kids' fashion,Kids' Clothing,2.99,SKU7704,2024-08-11 16:27:29.521591
11,29,Disney Princess by toothless girls Flip Flops Slipper,kids' fashion,Kids' Shoes,7.19,SKU7749,2024-08-11 16:27:29.562475
12,68,TheraBand Resistance Bands Set  Professional Non-Latex Elastic Band (New Version),sports & fitness,Strength Training,25.2,SKU5418,2024-08-11 16:27:29.583422
13,60,Women's Kolhapuri Chappals | Ethnic Leather Flats Kolhapuris for Women | Multicolor Silver WK26,women's shoes,Shoes,23.99,SKU9742,2024-08-11 16:27:29.610348
14,2,Dhwani Enterprise Plastic Pedal Dustbin Biomedical waste bins for hospitals Red-Yellow | 10 LTR WITH CHECK DUSTER CLOTH FREE,home & kitchen,Home Storage,11.99,SKU5884,2024-08-11 16:27:29.631292
15,27,Blueberry Red Cover Bag and Dust Cover Suitable for Casio SA-77  Casio SA-80  Casio SA-81 Mini Keyboard,music,Musical Instruments & Professional Audio,13.14,SKU2338,2024-08-11 16:27:29.656228
16,48,CP PLUS Infrared 1080p FHD 2.4MP Security Camera  White,tv  audio & cameras,Security Cameras,26.4,SKU8913,2024-08-11 16:27:29.798816
17,15,Vimal Men's Cotton Blend Trackpantss,sports & fitness,Running,10.79,SKU8958,2024-08-11 16:27:29.819759
18,34,INDISSH Unisex Regular Music Printed Cotton T-Shirt|(G&R10),men's clothing,T-shirts & Polos,7.64,SKU6777,2024-08-11 16:27:30.070119
19,5,Liberty Force 10 (from Men's White Track and Field Shoes - 8 UK/India (42 EU),stores,Sportswear,17.99,SKU3418,2024-08-11 16:27:30.179827
20,65,Reebok Men's Fitted T-Shirts,sports & fitness,Yoga,19.19,SKU7758,2024-08-11 16:27:30.204759
21,66,crocs Unisex-Adult Bayaband Clog Lemon/White Clog - 8 UK Men/ 9 UK Women (M9W11) (205089-7B0),men's shoes,Casual Shoes,41.94,SKU1870,2024-08-11 16:27:30.457095
22,67,Sixfire Digital Smart Plastic Alarm Clock with Automatic Sensor  Clock Mirror Clock Table Office Clock with Date Time Temp...,home & kitchen,Home Décor,11.99,SKU3260,2024-08-11 16:27:30.481020
23,11,Bombay Dyeing Single Bedsheet 144 TC  100% Cotton with 1 Pillow Covers - 150cm x 224cm or 60inch x 90inch - 1045,home & kitchen,Bedroom Linen,19.19,SKU8224,2024-08-11 16:27:30.509943
24,12,CATKOO Fashion Women Sunglasses UV400 Eyeglass Frameless Cat Eye Sun Glasses Ladies Eyewear,accessories,Sunglasses,13.5,SKU7968,2024-08-11 16:27:30.535873
25,2,(Renewed) Crompton Solarium Qube 25 L Storage Water Heater with Installation Pipe (White and Black)_SWH 25LT(2425) Solariu...,home  kitchen  pets,Refurbished & Open Box,N/A,SKU3212,2024-08-11 16:27:30.539864
26,63,blackberrys Mathew Leather Oxford Shoes,men's shoes,Formal Shoes,65.94,SKU2150,2024-08-11 16:27:30.761277
27,61,BSB HOME Premium Double Bedsheet with 2 Pillow Covers - 160 TC Supersoft Glace Cotton - Breathable & Wrinkle Free - 3 Pcs ...,home & kitchen,Bedroom Linen,11.99,SKU7223,2024-08-11 16:27:30.787227
28,40,Bantoo Baby Complete Sleeping Essentials All in One Bedding Combo Set (0-6 Months  Blue),home & kitchen,Home Furnishing,33.59,SKU3252,2024-08-11 16:27:30.814132
29,100,Liberty Gliders FB-007_Black Women Casual Ballerina,women's shoes,Ballerinas,7.79,SKU8531,2024-08-11 16:27:30.834076
30,75,Baby Bucket Portable Foldable Baby Kid Changing Mat Pad Cover Change Nappy Bag Travel Pocket (0-3 Months  Green),toys & baby products,Diapers,17.4,SKU3346,2024-08-11 16:27:30.855026
31,36,Dennis Lingo Men's Slim fit Casual Shirt,men's clothing,Shirts,29.99,SKU9939,2024-08-11 16:27:31.105351
32,46,Mala's  Litchi Crush   Lychee  750 millilitre,grocery & gourmet foods,Coffee  Tea & Beverages,2.1,SKU6738,2024-08-11 16:27:31.139261
33,67,Plastic Fridge Stand for Single/Double Door Refrigerators,appliances,Refrigerators,N/A,SKU4391,2024-08-11 16:27:31.181149
34,10,AONES Ocean Silicone Watch Strap Compatible for Honor Watch Magic Smart Watch Band,kids' fashion,Kids' Watches,11.88,SKU1020,2024-08-11 16:27:31.211077
35,80,Walkaroo womens Sandals Slide Sandal,women's shoes,Shoes,3.41,SKU2913,2024-08-11 16:27:31.243374
36,16,Inblu womens Mf32 Slipper,women's shoes,Shoes,5.99,SKU6114,2024-08-11 16:27:31.280275
37,100,Lymio Women Trousers || Girl's Trousers (P-15),stores,Women's Fashion,47.99,SKU2077,2024-08-11 16:27:31.323159
38,74,Vector X AW-10 Pair of Ankle/Wrist Weight (3kg),sports & fitness,All Exercise & Fitness,10.44,SKU6150,2024-08-11 16:27:31.350093
39,49,SKA Fashions Madurai Thalampoo Violet Kumkum Powder Sindoor Bindi For Women And Girls Forehead Wedding Festivals Pack of 2,beauty & health,Make-up,5.99,SKU3980,2024-08-11 16:27:31.392972
40,51,Fila Boy's Grant Hill 1 (Big Kid),kids' fashion,Kids' Shoes,N/A,SKU5214,2024-08-11 16:27:31.436842
41,11,Baby Basket Mothercare All We Know Baby Oil  300 ml,toys & baby products,Baby Products,4.79,SKU9084,2024-08-11 16:27:31.465780
42,14,10pcs Children Hair Clips Baby Girls Hair Clips Cute Cartoon Hairpins Fully Ribbon Covered Alligator Clip Hair Clips Hair ...,kids' fashion,Kids' Fashion,15.59,SKU2825,2024-08-11 16:27:31.520633
43,32,Himalaya Refreshing Baby Wash 400 ml & Himalaya Gentle Baby Shampoo (200ml) & Himalaya Diaper Rash Cream 100gm,toys & baby products,Baby Bath  Skin & Grooming,8.16,SKU7013,2024-08-11 16:27:31.554514
44,28,Longwalk Women Casual Sandal Stripe Print Multi Strap,women's shoes,Fashion Sandals,5.99,SKU8160,2024-08-11 16:27:31.602412
45,68,Electrolux 7.5kg 40°C Vapour Wash 5 Star EcoInverter Fully Automatic Front Load Washing Machine  Scandinavian Design for S...,appliances,Washing Machines,755.88,SKU9865,2024-08-11 16:27:31.642305
46,93,crocs Unisex-Child Crocsfl Marvel Multi Clog K Clogs,kids' fashion,Kids' Shoes,29.94,SKU1999,2024-08-11 16:27:31.688173
47,80,DR VAKU® 20W iPhone Charger Type C Adapter for Phone 14/ 14 Plus/ 14 Pro/ 14 Pro Max  iPhone 13/13 Pro/13 Pro Max/13 Mini ...,tv  audio & cameras,All Electronics,19.19,SKU3267,2024-08-11 16:27:31.891640
48,70,DOCOSS-Set of 2-331-Metal TSA Approved Lock 3 Digit for Luggage Bag International Number Password Travel Locks(Multi-Color),accessories,Bags & Luggage,17.94,SKU3940,2024-08-11 16:27:32.239280
49,2,AND Women's Cotton Blend A-Line Knee-Length Dress,stores,The Designer Boutique,35.99,SKU2619,2024-08-11 16:27:32.269199
50,73,STORE77® Mini Kids Eraser Machine Dispenser Cartoon Santa Christmas Tree Snowflake School Office Supplies Rubber Eraser Ch...,home & kitchen,Sewing & Craft Supplies,7.19,SKU1081,2024-08-11 16:27:32.298122
51,55,Nilkamal STL21 Home Utility Ladder Stool (Brown),home & kitchen,Furniture,19.19,SKU1618,2024-08-11 16:27:32.322065
52,26,The White Willow Memory Foam Kids Neck Rest Travel Pillow U Shaped Cushion with Soft Velour Fabric for Air Travel  Long Fl...,bags & luggage,Travel Accessories,27.59,SKU4338,2024-08-11 16:27:32.348990
