RetailerID,Name,ContactInfo,CreatedAt,UserID
1,Norris PLC,robert66@gmail.com,2021-02-05 23:46:56,248
2,"Bright, Cook and Nicholson",kmyers@outlook.com,2020-12-29 23:46:56,210
3,Harrington-Fernandez,tduffy@yahoo.com,2020-08-03 23:46:56,62
4,"Lee, Harrison and Richards",glucas@gmail.com,2020-06-28 23:46:56,26
5,Taylor PLC,snydertimothy@yahoo.com,2021-01-01 23:46:56,213
6,"Roberson, Guerra and Burnett",uray@outlook.com,2020-08-08 23:46:56,67
7,Davis Group,jamesdean@yahoo.com,2020-10-23 23:46:56,143
8,Wall and Sons,leslie54@gmail.com,2020-07-09 23:46:56,37
9,"Key, Dawson and Caldwell",vaughnjane@yahoo.com,2021-01-24 23:46:56,236
10,Johnson and Sons,davidjohnson@hotmail.com,2021-01-04 23:46:56,216
11,"Cross, Young and Bowen",gwilson@yahoo.com,2020-06-30 23:46:56,28
12,"Brown, Schmidt and Hernandez",wwheeler@gmail.com,2020-11-16 23:46:56,167
13,"Strong, Brown and Martin",harveykeith@yahoo.com,2020-07-15 23:46:56,43
14,Mcconnell LLC,jennifer65@outlook.com,2020-09-04 23:46:56,94
15,Lopez-Underwood,michaelroach@hotmail.com,2020-09-26 23:46:56,116
16,Oconnor-Jenkins,thomascampbell@hotmail.com,2020-10-30 23:46:56,150
17,Lopez LLC,justin43@hotmail.com,2020-10-29 23:46:56,149
18,"Hoffman, Allen and Lee",carol08@yahoo.com,2020-09-20 23:46:56,110
19,Garcia Inc,smithjoseph@gmail.com,2020-09-03 23:46:56,93
20,"Peterson, Johnson and Hall",swilliamson@gmail.com,2020-09-27 23:46:56,117
21,Conley-Johnson,michelle78@example.com,2020-07-28 23:46:56,56
22,Young-Gonzalez,gstevens@outlook.com,2020-11-12 23:46:56,163
23,Watson Inc,kellithomas@hotmail.com,2020-09-19 23:46:56,109
24,Ortiz Group,ohernandez@yahoo.com,2021-01-05 23:46:56,217
25,Monroe-Mata,jennifersmith@outlook.com,2020-12-22 23:46:56,203
26,"Jones, Alexander and Franklin",zturner@yahoo.com,2020-08-21 23:46:56,80
27,"David, Hines and Moore",melissa67@hotmail.com,2020-07-23 23:46:56,51
28,Wright-Gutierrez,margaretshaw@gmail.com,2020-07-10 23:46:56,38
29,"Johnson, Ross and Ramos",catherineroberts@hotmail.com,2020-12-16 23:46:56,197
30,Wall-Perry,arnoldmary@example.com,2021-02-07 23:46:56,250
31,Morgan-Jones,robert27@outlook.com,2020-07-24 23:46:56,52
32,Jones-Reyes,qrandolph@hotmail.com,2021-01-17 23:46:56,229
33,Collier-Mills,tlozano@example.com,2020-10-26 23:46:56,146
34,Stewart-Ross,henry30@gmail.com,2020-12-19 23:46:56,200
35,Wilson-Gilmore,theresa67@example.com,2020-12-01 23:46:56,182
36,York-Green,frostscott@outlook.com,2020-12-17 23:46:56,198
37,Aguilar-Hart,heathermurray@hotmail.com,2020-09-21 23:46:56,111
38,Gonzalez and Sons,greenmolly@yahoo.com,2020-12-14 23:46:56,195
39,Wood Ltd,maldonadosydney@gmail.com,2020-08-02 23:46:56,61
40,"Lee, Fuentes and Ford",msavage@outlook.com,2021-01-14 23:46:56,226
41,"Bauer, Green and Moore",stephenjacobs@hotmail.com,2020-06-03 23:46:56,1
42,Robles-Pineda,fordkevin@example.com,2020-06-29 23:46:56,27
43,"Rodriguez, Mooney and Lozano",simmonssandra@outlook.com,2020-06-19 23:46:56,17
44,Gill-Wilson,erichamilton@gmail.com,2020-12-20 23:46:56,201
45,"Gonzalez, Ruiz and Burke",hmarsh@hotmail.com,2021-01-23 23:46:56,235
46,Long Group,rgrant@hotmail.com,2020-10-02 23:46:56,122
47,Baker Group,coopermichael@yahoo.com,2020-08-25 23:46:56,84
48,Moon-Collier,robert83@hotmail.com,2020-09-07 23:46:56,97
49,"Fowler, Buck and Parker",caldwellfernando@yahoo.com,2020-12-13 23:46:56,194
50,Richardson-Bray,deborahcox@outlook.com,2020-07-18 23:46:56,46
51,Watkins PLC,molly16@outlook.com,2020-07-30 23:46:56,58
52,Austin-Greer,kent97@example.com,2020-11-19 23:46:56,170
53,Sullivan-Walters,thompsonrichard@outlook.com,2020-06-08 23:46:56,6
54,"Curtis, Dunn and Lane",breanna12@hotmail.com,2021-01-08 23:46:56,220
55,"Montes, Singh and Johnson",christopher97@yahoo.com,2020-11-22 23:46:56,173
56,Hernandez-Parker,brian80@gmail.com,2020-06-27 23:46:56,25
57,"Anderson, Olson and Little",hwalker@gmail.com,2020-11-09 23:46:56,160
58,"Baldwin, Moore and Martin",david92@gmail.com,2020-11-29 23:46:56,180
