TrackingID,OrderID,Status_x,UpdatedAt,Status_y,OrderDate,Status
1.0,1,Shipped,2024-08-08 21:42:36.681127,In Transit,2024-09-10 08:34:41,In Transit
1.0,1,Shipped,2024-08-08 21:42:36.681127,In Transit,2024-09-10 08:34:41,In Transit
1.0,1,Shipped,2024-08-08 21:42:36.681127,In Transit,2024-09-10 08:34:41,In Transit
2.0,2,Delivered,2024-08-07 21:42:36.681136,Delivered,2024-05-17 01:38:20,Delivered
2.0,2,Delivered,2024-08-07 21:42:36.681136,Delivered,2024-05-17 01:38:20,Delivered
3.0,3,In Transit,2024-08-06 21:42:36.681140,Delivered,2024-11-26 06:13:51,Delivered
,4,,,In Transit,2024-09-21 19:57:35,In Transit
,5,,,Shipped,2024-12-15 07:26:12,Shipped
,6,,,Shipped,2024-08-30 11:28:26,Shipped
,6,,,Shipped,2024-08-30 11:28:26,Shipped
,7,,,Shipped,2024-07-18 10:45:54,Shipped
,8,,,In Transit,2024-02-06 11:26:22,In Transit
,8,,,In Transit,2024-02-06 11:26:22,In Transit
,9,,,Shipped,2024-08-18 21:57:50,Shipped
,10,,,Shipped,2024-10-05 03:31:04,Shipped
,10,,,Shipped,2024-10-05 03:31:04,Shipped
,11,,,Delivered,2024-01-02 02:53:38,Delivered
,11,,,Delivered,2024-01-02 02:53:38,Delivered
,11,,,Delivered,2024-01-02 02:53:38,Delivered
,12,,,Shipped,2024-03-18 05:03:20,Shipped
,13,,,Shipped,2024-11-04 05:22:51,Shipped
,14,,,Shipped,2024-03-17 18:02:14,Shipped
,14,,,Shipped,2024-03-17 18:02:14,Shipped
,14,,,Shipped,2024-03-17 18:02:14,Shipped
,15,,,Shipped,2024-02-25 17:51:18,Shipped
,15,,,Shipped,2024-02-25 17:51:18,Shipped
,15,,,Shipped,2024-02-25 17:51:18,Shipped
,16,,,Shipped,2024-02-20 16:12:05,Shipped
,16,,,Shipped,2024-02-20 16:12:05,Shipped
,17,,,Shipped,2024-05-10 02:29:59,Shipped
,18,,,Shipped,2024-11-05 13:45:09,Shipped
,18,,,Shipped,2024-11-05 13:45:09,Shipped
,18,,,Shipped,2024-11-05 13:45:09,Shipped
,19,,,In Transit,2024-11-27 03:49:44,In Transit
,20,,,In Transit,2024-05-04 05:47:26,In Transit
,21,,,Delivered,2024-08-29 09:55:54,Delivered
,22,,,Shipped,2024-03-02 16:42:36,Shipped
,22,,,Shipped,2024-03-02 16:42:36,Shipped
,23,,,Shipped,2024-11-04 11:38:53,Shipped
,23,,,Shipped,2024-11-04 11:38:53,Shipped
,23,,,Shipped,2024-11-04 11:38:53,Shipped
,24,,,In Transit,2024-05-12 13:12:14,In Transit
,24,,,In Transit,2024-05-12 13:12:14,In Transit
,25,,,In Transit,2024-05-11 15:56:50,In Transit
,25,,,In Transit,2024-05-11 15:56:50,In Transit
,26,,,Delivered,2024-04-17 20:19:12,Delivered
,26,,,Delivered,2024-04-17 20:19:12,Delivered
,26,,,Delivered,2024-04-17 20:19:12,Delivered
,27,,,Shipped,2024-02-12 10:05:29,Shipped
,28,,,In Transit,2024-05-28 14:21:50,In Transit
,28,,,In Transit,2024-05-28 14:21:50,In Transit
,28,,,In Transit,2024-05-28 14:21:50,In Transit
,29,,,Delivered,2024-02-04 10:45:56,Delivered
,30,,,Shipped,2024-09-01 00:07:01,Shipped
,30,,,Shipped,2024-09-01 00:07:01,Shipped
,31,,,Shipped,2024-03-28 15:15:45,Shipped
,31,,,Shipped,2024-03-28 15:15:45,Shipped
,32,,,Shipped,2024-08-09 21:25:03,Shipped
,32,,,Shipped,2024-08-09 21:25:03,Shipped
,33,,,Delivered,2024-11-21 07:41:29,Delivered
,33,,,Delivered,2024-11-21 07:41:29,Delivered
,34,,,In Transit,2024-10-03 20:45:03,In Transit
,34,,,In Transit,2024-10-03 20:45:03,In Transit
,35,,,Shipped,2024-10-24 04:24:16,Shipped
,35,,,Shipped,2024-10-24 04:24:16,Shipped
,36,,,Delivered,2024-09-14 11:54:30,Delivered
,37,,,Delivered,2024-01-02 11:04:38,Delivered
,37,,,Delivered,2024-01-02 11:04:38,Delivered
,38,,,Shipped,2024-01-18 13:07:57,Shipped
,38,,,Shipped,2024-01-18 13:07:57,Shipped
,39,,,In Transit,2024-02-20 06:37:47,In Transit
,40,,,Shipped,2024-03-21 11:05:48,Shipped
,41,,,Delivered,2024-08-04 10:28:12,Delivered
,42,,,Delivered,2024-09-26 18:29:37,Delivered
,42,,,Delivered,2024-09-26 18:29:37,Delivered
,43,,,Shipped,2024-04-25 23:29:52,Shipped
,43,,,Shipped,2024-04-25 23:29:52,Shipped
,43,,,Shipped,2024-04-25 23:29:52,Shipped
,44,,,Shipped,2024-05-14 05:50:44,Shipped
,44,,,Shipped,2024-05-14 05:50:44,Shipped
,45,,,In Transit,2024-05-01 10:45:35,In Transit
,45,,,In Transit,2024-05-01 10:45:35,In Transit
,46,,,Shipped,2024-04-25 04:56:04,Shipped
,47,,,Shipped,2024-08-12 16:08:31,Shipped
,47,,,Shipped,2024-08-12 16:08:31,Shipped
,48,,,In Transit,2024-02-17 12:38:06,In Transit
,48,,,In Transit,2024-02-17 12:38:06,In Transit
,48,,,In Transit,2024-02-17 12:38:06,In Transit
,49,,,Shipped,2024-11-06 19:57:14,Shipped
,49,,,Shipped,2024-11-06 19:57:14,Shipped
,49,,,Shipped,2024-11-06 19:57:14,Shipped
,50,,,Shipped,2024-05-29 16:03:33,Shipped
,50,,,Shipped,2024-05-29 16:03:33,Shipped
,51,,,In Transit,2024-06-19 02:14:38,In Transit
,51,,,In Transit,2024-06-19 02:14:38,In Transit
,51,,,In Transit,2024-06-19 02:14:38,In Transit
,52,,,In Transit,2024-11-09 23:17:16,In Transit
,53,,,Delivered,2024-09-08 20:55:41,Delivered
,53,,,Delivered,2024-09-08 20:55:41,Delivered
,53,,,Delivered,2024-09-08 20:55:41,Delivered
