TransactionID,OrderID,PaymentMethod,Amount,TransactionDate
1,1,Credit Card,156.98,2024-08-08 21:50:33.544597
2,2,Credit Card,408.89,2024-08-07 21:50:33.544604
3,3,Debit Card,117.08,2024-08-06 21:50:33.544606
4,4,Debit Card,187.53,2024-08-05 21:50:33.544607
5,5,Debit Card,311.94,2024-08-04 21:50:33.544608
6,6,Credit Card,260.59,2024-08-03 21:50:33.544610
7,7,PayPal,495.64,2024-08-02 21:50:33.544611
8,8,Credit Card,320.75,2024-08-01 21:50:33.544613
9,9,Debit Card,284.47,2024-07-31 21:50:33.544615
10,10,Credit Card,302.55,2024-07-30 21:50:33.544618
11,11,Debit Card,483.65,2024-07-29 21:50:33.544620
12,12,Debit Card,120.25,2024-07-28 21:50:33.544622
13,13,Credit Card,94.82,2024-07-27 21:50:33.544624
14,14,Credit Card,240.21,2024-07-26 21:50:33.544627
15,15,Debit Card,497.54,2024-07-25 21:50:33.544629
16,16,Credit Card,441.07,2024-07-24 21:50:33.544631
17,17,PayPal,109.76,2024-07-23 21:50:33.544633
18,18,Debit Card,231.03,2024-07-22 21:50:33.544636
19,19,Credit Card,290.44,2024-07-21 21:50:33.544638
20,20,Debit Card,104.49,2024-07-20 21:50:33.544640
21,21,Credit Card,287.86,2024-07-19 21:50:33.544644
22,22,PayPal,260.43,2024-07-18 21:50:33.544646
23,23,PayPal,254.47,2024-07-17 21:50:33.544648
24,24,PayPal,159.98,2024-07-16 21:50:33.544650
25,25,PayPal,123.47,2024-07-15 21:50:33.544652
26,26,PayPal,479.12,2024-07-14 21:50:33.544655
27,27,Debit Card,482.52,2024-07-13 21:50:33.544657
28,28,Debit Card,284.75,2024-07-12 21:50:33.544660
29,29,Credit Card,145.73,2024-07-11 21:50:33.544662
30,30,Debit Card,167.62,2024-07-10 21:50:33.544664
31,31,Debit Card,330.33,2024-07-09 21:50:33.544666
32,32,Credit Card,181.45,2024-07-08 21:50:33.544668
33,33,Debit Card,309.75,2024-07-07 21:50:33.544671
34,34,PayPal,276.06,2024-07-06 21:50:33.544674
35,35,Debit Card,455.81,2024-07-05 21:50:33.544676
36,36,Credit Card,139.12,2024-07-04 21:50:33.544677
37,37,PayPal,113.42,2024-07-03 21:50:33.544678
38,38,Debit Card,202.69,2024-07-02 21:50:33.544679
39,39,PayPal,269.03,2024-07-01 21:50:33.544680
40,40,Credit Card,454.44,2024-06-30 21:50:33.544681
41,41,Credit Card,130.21,2024-06-29 21:50:33.544683
42,42,PayPal,326.08,2024-06-28 21:50:33.544684
43,43,Debit Card,223.24,2024-06-27 21:50:33.544685
44,44,Debit Card,215.67,2024-06-26 21:50:33.544686
45,45,PayPal,243.62,2024-06-25 21:50:33.544688
46,46,PayPal,182.6,2024-06-24 21:50:33.544689
47,47,PayPal,380.73,2024-06-23 21:50:33.544690
48,48,PayPal,205.85,2024-06-22 21:50:33.544691
49,49,PayPal,164.09,2024-06-21 21:50:33.544692
50,50,PayPal,106.14,2024-06-20 21:50:33.544693
51,51,Credit Card,145.78,2024-06-19 21:50:33.544695
52,52,Debit Card,358.52,2024-06-18 21:50:33.544696
53,53,PayPal,359.79,2024-06-17 21:50:33.544697
54,54,PayPal,371.0,2024-06-16 21:50:33.544698
55,55,Credit Card,244.13,2024-06-15 21:50:33.544700
56,56,PayPal,424.56,2024-06-14 21:50:33.544701
